size_requested,nodes,edges,density,morse_seed,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb,rss_delta_mb,critical_vertices,critical_edges,total_critical_cells,gradient_pairs,status,error
1000,1000,1333,0.0026686686686686685,42,extract_subgraph,0.01337937731295824,664.9921875,666.0,666.0,1.0078125,0,0,0,0,ok,
1000,1000,1333,0.0026686686686686685,42,construct_morse_1d,0.004934052005410194,666.0,666.0,666.0,0.0,1,334,335,999,ok,
5000,5000,13530,0.001082616523304661,42,extract_subgraph,0.027473924681544304,666.375,666.640625,666.640625,0.265625,0,0,0,0,ok,
5000,5000,13530,0.001082616523304661,42,construct_morse_1d,0.03326181601732969,666.640625,666.640625,666.640625,0.0,1,8531,8532,4999,ok,
10000,10000,44175,0.0008835883588358836,42,extract_subgraph,0.042370191775262356,666.640625,666.88671875,666.88671875,0.24609375,0,0,0,0,ok,
10000,10000,44175,0.0008835883588358836,42,construct_morse_1d,0.09122862294316292,666.88671875,666.88671875,666.88671875,0.0,1,34176,34177,9999,ok,
25000,25000,353582,0.0011315076603064123,42,extract_subgraph,0.11835931800305843,666.88671875,666.8984375,672.51171875,0.01171875,0,0,0,0,ok,
25000,25000,353582,0.0011315076603064123,42,construct_morse_1d,0.6184738529846072,666.8984375,666.8984375,666.8984375,0.0,7,328589,328596,24993,ok,
50000,50000,669889,0.0005359219184383687,42,extract_subgraph,0.1749578695744276,670.27734375,670.52734375,672.52734375,0.25,0,0,0,0,ok,
50000,50000,669889,0.0005359219184383687,42,construct_morse_1d,1.1643626047298312,670.52734375,680.3671875,680.3671875,9.83984375,17,619906,619923,49983,ok,
169343,169343,1157799,8.074789913670332e-05,42,extract_subgraph,0.0009394995868206024,681.3515625,681.3515625,681.3515625,0.0,0,0,0,0,ok,
169343,169343,1157799,8.074789913670332e-05,42,construct_morse_1d,2.2018609484657645,681.3515625,706.65234375,706.65234375,25.30078125,2147,990603,992750,167196,ok,
