size_requested,nodes,edges,mode,enforce_f,eps,sampled_pairs,successful_pairs,successful_pair_ratio,unique_path_edges,sampled_edge_coverage,mean_path_length,p50_path_length,p95_path_length,mean_bfs_steps,p50_bfs_steps,p95_bfs_steps,seconds,seconds_per_pair,rss_start_mb,rss_end_mb,rss_peak_mb,rss_delta_mb,candidate_all_pairs,estimated_all_pairs_seconds,status,error
1000,1000,1333,pairing,True,0.0,1000,5,0.005,10,0.007501875468867217,3.0,3.0,3.0,5.99,6.0,6.0,0.004243568517267704,4.243568517267704e-06,666.0,666.0,666.0,0.0,55945,0.23740644069854172,ok,
1000,1000,1333,pairing,False,0.0,1000,5,0.005,10,0.007501875468867217,3.0,3.0,3.0,5.99,6.0,6.0,0.0034413374960422516,3.4413374960422517e-06,666.375,666.375,666.375,0.0,55945,0.19252562621608377,ok,
1000,1000,1333,relaxed,True,0.0,1000,5,0.005,10,0.007501875468867217,3.0,3.0,3.0,5.99,6.0,6.0,0.15638849418610334,0.00015638849418610334,666.375,666.375,666.375,0.0,55945,8.749154307241552,ok,
1000,1000,1333,relaxed,False,0.0,1000,508,0.508,244,0.18304576144036008,10.903543307086615,10.0,22.0,1088.399,1110.5,1438.0,0.6742507815361023,0.0006742507815361023,666.375,666.375,666.375,0.0,55945,37.72095997303724,ok,
5000,5000,13530,pairing,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.004350850358605385,4.3508503586053845e-06,666.640625,666.640625,666.640625,0.0,36393246,158.34156740991398,ok,
5000,5000,13530,pairing,False,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0036558611318469048,3.6558611318469048e-06,666.640625,666.640625,666.640625,0.0,36393246,133.04865351314285,ok,
5000,5000,13530,relaxed,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.7527365582063794,0.0007527365582063794,666.640625,666.640625,666.640625,0.0,36393246,27394.526735998083,ok,
5000,5000,13530,relaxed,False,0.0,1000,683,0.683,2202,0.16274944567627495,7.147877013177159,8.0,10.0,7457.713,7809.0,10000.0,5.1572006195783615,0.0051572006195783615,666.640625,666.640625,666.640625,0.0,36393246,187687.27081966773,ok,
10000,10000,44175,pairing,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0042565688490867615,4.256568849086762e-06,666.88671875,666.88671875,666.88671875,0.0,584016576,2485.9067647519114,ok,
10000,10000,44175,pairing,False,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0035670269280672073,3.567026928067207e-06,666.88671875,666.88671875,666.88671875,0.0,584016576,2083.202853029609,ok,
10000,10000,44175,relaxed,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.495780961588025,0.001495780961588025,666.88671875,666.88671875,666.88671875,0.0,584016576,873560.8756326259,ok,
10000,10000,44175,relaxed,False,0.0,1000,47,0.047,140,0.0031692133559705717,4.0,4.0,4.0,9545.527,10000.0,10000.0,5.791103683412075,0.005791103683412075,666.88671875,666.88671875,666.88671875,0.0,584016576,3382100.544447308,ok,
25000,25000,353582,pairing,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,7.815,8.0,11.0,0.00553329661488533,5.5332966148853305e-06,666.8984375,666.3984375,666.8984375,-0.5,53987501310,298728.85824474035,ok,
25000,25000,353582,pairing,False,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,7.815,8.0,11.0,0.004767280071973801,4.767280071973801e-06,666.3984375,666.3984375,666.3984375,0.0,53987501310,257373.5391308225,ok,
25000,25000,353582,relaxed,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,7.815,8.0,11.0,2.29421285353601,0.00229421285353601,666.3984375,666.3984375,666.3984375,0.0,53987501310,123858819.43569417,ok,
25000,25000,353582,relaxed,False,0.0,1000,94,0.094,283,0.0008003801098472207,4.042553191489362,4.0,4.0,9286.926,10000.0,10000.0,10.162919539026916,0.010162919539026916,666.3984375,670.27734375,671.2734375,3.87890625,53987501310,548670631.9266403,ok,
50000,50000,669889,pairing,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,8.329,8.0,11.0,0.006665246561169624,6.665246561169624e-06,680.3671875,678.75,680.3671875,-1.6171875,192151953003,1280740.143975273,ok,
50000,50000,669889,pairing,False,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,8.329,8.0,11.0,0.004666929133236408,4.6669291332364084e-06,678.75,678.75,678.75,0.0,192151953003,896759.5474779739,ok,
50000,50000,669889,relaxed,True,0.0,1000,0,0.0,0,0.0,0.0,0.0,0.0,8.329,8.0,11.0,2.620478576980531,0.0026204785769805314,678.75,678.75,678.75,0.0,192151953003,503530076.36933136,ok,
50000,50000,669889,relaxed,False,0.0,1000,66,0.066,199,0.0002970641404770044,4.03030303030303,4.0,4.0,9474.434,10000.0,10000.0,12.333724835887551,0.012333724835887551,678.75,681.3515625,683.9453125,2.6015625,192151953003,2369949315.0173984,ok,
